ID;Failure;Total Time (ms);Time Filtering (ms);Timed Out;Restarts Count;Time Restarting (ms);Query;Input Shapes;Output Shapes
1;success;736;361;false;0;0;CONSTRUCT { ?v3 a :C5 . ?v2 a :C5 . ?v2 a :C3 . ?v1 :p3 ?v2 . ?v2 :p2 ?v3 . ?v1 a :C2 . ?v3 a :C1 . ?v2 a :C4 } WHERE { ?v1 a :C1 . ?v2 :p1 ?v3 };;∃:p2.shar:T ⊑ ∀-:p2.:C4,∃-:p3.shar:T ⊑ ∀:p3.:C3,∃-:p3.shar:T ⊑ ∃:p2.:C1,:C1 ⊑ ∃-:p2.:C5,:C2 ⊑ ∃:p3.:C3,∃-:p2.shar:T ⊑ ∃-:p2.:C5,∃:p2.shar:T ⊑ ∀-:p2.:C5,∃-:p2.shar:T ⊑ ∀:p2.:C1,:C3 ⊑ ∃:p2.:C1,∃:p3.shar:T ⊑ ∀-:p2.:C5,∃-:p3.shar:T ⊑ :C5,:C3 ⊑ :C5,∃:p3.shar:T ⊑ ∀-:p2.:C3,∃:p2.shar:T ⊑ ∃:p2.:C5,∃:p2.shar:T ⊑ ∀-:p3.:C2,:C4 ⊑ ∃:p2.:C1,∃:p3.shar:T ⊑ ∃:p3.:C3,∃-:p2.shar:T ⊑ ∀:p3.:C3,∃-:p2.shar:T ⊑ :C5,∃-:p2.shar:T ⊑ ∃-:p2.:C3,:C3 ⊑ :C4,∃-:p3.shar:T ⊑ ∀:p3.:C4,∃-:p2.shar:T ⊑ ∀:p2.:C5,∃-:p3.shar:T ⊑ :C3,:C4 ⊑ ∃-:p3.:C2,∃:p3.shar:T ⊑ ∃:p3.:C4,:C4 ⊑ ∃:p2.:C5,∃-:p2.shar:T ⊑ :C1,∃-:p3.shar:T ⊑ ∃:p2.:C5,∃:p2.shar:T ⊑ :C4,:C4 ⊑ :C3,∃-:p3.shar:T ⊑ ∃-:p3.:C2,:C1 ⊑ ∃-:p2.:C4,:C2 ⊑ ∃:p3.:C5,∃-:p3.shar:T ⊑ ∀:p3.:C5,∃-:p3.shar:T ⊑ :C4,∃-:p2.shar:T ⊑ ∀:p3.:C5,:C3 ⊑ ∃-:p3.:C2,∃:p2.shar:T ⊑ ∃-:p3.:C2,∃:p2.shar:T ⊑ :C5,∃:p3.shar:T ⊑ ∃:p3.:C5,:C1 ⊑ :C5,∃:p2.shar:T ⊑ ∀-:p2.:C3,∃-:p3.shar:T ⊑ ∀:p2.:C5,∃:p2.shar:T ⊑ :C3,:C2 ⊑ ∃:p3.:C4,∃-:p2.shar:T ⊑ ∀:p3.:C4,:C1 ⊑ ∃-:p2.:C3,∃:p2.shar:T ⊑ ∃:p2.:C1,:C3 ⊑ ∃:p2.:C5,∃:p3.shar:T ⊑ :C2,:C4 ⊑ :C5,∃:p3.shar:T ⊑ ∀-:p2.:C4,∃:p3.shar:T ⊑ ∀-:p3.:C2,∃-:p3.shar:T ⊑ ∀:p2.:C1,∃-:p2.shar:T ⊑ ∃-:p2.:C4
2;success;30852;30805;false;0;0;CONSTRUCT { ?v1 :p4 ?v3 . ?v2 :p3 ?v1 . ?v2 :p2 ?v1 . ?v2 a :C3 . ?v1 :p6 ?v2 . ?v3 :p5 ?v1 . ?v1 a :C2 . ?v1 :p5 ?v3 } WHERE { ?v1 a :C1 . ?v2 :p1 ?v3 };;:C2 ⊑ ∃-:p2.:C3,∃:p4.shar:T ⊑ ∀-:p4.:C2,∃:p2.shar:T ⊑ :C3,∃-:p6.shar:T ⊑ ∀:p2.:C2,:C3 ⊑ ∃:p3.:C2,∃-:p6.shar:T ⊑ ∃:p3.:C2,∃:p6.shar:T ⊑ ∃:p6.:C3,∃-:p4.shar:T ⊑ ∃-:p5.:C2,∃:p5.shar:T ⊑ ∀-:p4.:C2,:C2 ⊑ ∃-:p3.:C3,∃:p3.shar:T ⊑ ∃:p3.:C2,∃-:p4.shar:T ⊑ ∃:p5.:C2,∃-:p4.shar:T ⊑ ∃-:p4.:C2,∃-:p4.shar:T ⊑ ∀:p3.:C2,∃-:p4.shar:T ⊑ ∀:p6.:C3,∃-:p3.shar:T ⊑ ∃:p6.:C3,∃:p3.shar:T ⊑ ∀-:p4.:C2,∃-:p3.shar:T ⊑ :C2,∃:p4.shar:T ⊑ ∀-:p3.:C3,∃-:p6.shar:T ⊑ ∃-:p6.:C2,∃:p2.shar:T ⊑ ∃:p2.:C2,∃:p6.shar:T ⊑ ∃-:p2.:C3,∃-:p2.shar:T ⊑ :C2,∃-:p5.shar:T ⊑ ∀:p2.:C2,∃-:p2.shar:T ⊑ ∀:p2.:C2,∃-:p5.shar:T ⊑ ∀:p6.:C3,∃:p3.shar:T ⊑ ∃:p2.:C2,∃:p3.shar:T ⊑ :C3,∃:p4.shar:T ⊑ ∀-:p6.:C2,∃:p6.shar:T ⊑ ∀-:p4.:C2,∃:p2.shar:T ⊑ ∀-:p6.:C2,∃-:p2.shar:T ⊑ ∃-:p2.:C3,∃:p4.shar:T ⊑ ∃-:p2.:C3,:C3 ⊑ ∃:p2.:C2,∃:p3.shar:T ⊑ ∀-:p3.:C3,∃:p4.shar:T ⊑ ∃:p6.:C3,∃:p4.shar:T ⊑ ∀-:p2.:C3,∃-:p3.shar:T ⊑ ∃-:p3.:C3,∃-:p6.shar:T ⊑ :C3,∃-:p5.shar:T ⊑ ∀:p3.:C2,:C2 ⊑ ∃:p6.:C3,∃:p5.shar:T ⊑ ∀-:p3.:C3,∃:p5.shar:T ⊑ ∀-:p2.:C3,∃-:p2.shar:T ⊑ ∀:p6.:C3,∃:p3.shar:T ⊑ ∀-:p6.:C2,∃-:p2.shar:T ⊑ ∀:p3.:C2,∃-:p2.shar:T ⊑ ∃:p6.:C3,∃-:p2.shar:T ⊑ ∃-:p3.:C3,∃-:p3.shar:T ⊑ ∃-:p2.:C3,∃:p4.shar:T ⊑ :C2,∃:p4.shar:T ⊑ ∃-:p3.:C3,∃:p5.shar:T ⊑ ∀-:p6.:C2,∃-:p6.shar:T ⊑ ∃:p2.:C2,∃:p3.shar:T ⊑ ∃-:p6.:C2,∃:p6.shar:T ⊑ ∀-:p3.:C3,∃:p2.shar:T ⊑ ∀-:p4.:C2,∃-:p6.shar:T ⊑ ∀:p3.:C2,∃:p6.shar:T ⊑ :C2,∃-:p3.shar:T ⊑ ∀:p2.:C2,∃:p2.shar:T ⊑ ∃:p3.:C2,∃:p6.shar:T ⊑ ∀-:p6.:C2,∃-:p3.shar:T ⊑ ∀:p6.:C3,∃:p6.shar:T ⊑ ∃-:p3.:C3,∃-:p4.shar:T ⊑ ∀:p2.:C2,∃:p2.shar:T ⊑ ∀-:p2.:C3,:C3 ⊑ ∃-:p6.:C2,∃:p6.shar:T ⊑ ∀-:p2.:C3,∃:p2.shar:T ⊑ ∀-:p3.:C3,∃-:p6.shar:T ⊑ ∀:p6.:C3,∃:p2.shar:T ⊑ ∃-:p6.:C2,∃-:p3.shar:T ⊑ ∀:p3.:C2,∃:p3.shar:T ⊑ ∀-:p2.:C3
3;success;2269;2252;false;0;0;CONSTRUCT { ?v3 a :C1 . ?v3 :p4 ?v2 . ?v1 :p1 ?v2 . ?v1 :p3 ?v3 . ?v2 :p4 ?v1 . ?v3 :p6 ?v1 . ?v2 :p2 ?v3 . ?v1 :p5 ?v3 } WHERE { ?v1 :p1 ?v2 . ?v3 :p2 ?v1 };;:C1 ⊑ ∃:p4.:C1,∃:p1.shar:T ⊑ ∃:p3.:C1,∃:p4.shar:T ⊑ ∃-:p6.:C1,∃:p5.shar:T ⊑ ∃-:p6.:C1,∃-:p3.shar:T ⊑ ∃:p3.:C1,∃-:p2.shar:T ⊑ ∃-:p6.:C1,∃-:p2.shar:T ⊑ ∀:p1.:C1,∃:p3.shar:T ⊑ ∃:p1.:C1,∃-:p6.shar:T ⊑ ∀:p2.:C1,∃:p6.shar:T ⊑ ∃:p4.:C1,∃-:p4.shar:T ⊑ ∀:p1.:C1,∃-:p5.shar:T ⊑ :C1,∃:p2.shar:T ⊑ ∃:p5.:C1,∃-:p6.shar:T ⊑ ∃:p1.:C1,∃:p2.shar:T ⊑ ∃-:p2.:C1,∃:p4.shar:T ⊑ ∃:p4.:C1,∃-:p1.shar:T ⊑ :C1,∃-:p1.shar:T ⊑ ∀:p5.:C1,∃:p2.shar:T ⊑ ∃-:p6.:C1,∃-:p1.shar:T ⊑ ∃-:p2.:C1,:C1 ⊑ ∃:p3.:C1,∃:p5.shar:T ⊑ ∃:p1.:C1,∃:p2.shar:T ⊑ ∃:p4.:C1,∃:p3.shar:T ⊑ ∀-:p6.:C1,∃-:p3.shar:T ⊑ ∃-:p6.:C1,∃-:p5.shar:T ⊑ ∃:p3.:C1,∃:p5.shar:T ⊑ ∀-:p2.:C1,∃-:p1.shar:T ⊑ ∀:p1.:C1,∃-:p5.shar:T ⊑ ∃-:p4.:C1,∃:p3.shar:T ⊑ ∃:p3.:C1,∃:p4.shar:T ⊑ ∃:p5.:C1,∃:p2.shar:T ⊑ :C1,∃-:p1.shar:T ⊑ ∃:p2.:C1,∃-:p4.shar:T ⊑ ∃-:p4.:C1,∃-:p5.shar:T ⊑ ∃:p5.:C1,∃:p3.shar:T ⊑ ∃-:p6.:C1,∃:p1.shar:T ⊑ ∀-:p4.:C1,∃-:p2.shar:T ⊑ ∀:p5.:C1,∃-:p5.shar:T ⊑ ∃:p1.:C1,∃-:p4.shar:T ⊑ ∃-:p6.:C1,∃-:p6.shar:T ⊑ ∀:p3.:C1,∃:p1.shar:T ⊑ ∀-:p6.:C1,∃:p6.shar:T ⊑ ∃-:p4.:C1,∃:p6.shar:T ⊑ ∀-:p2.:C1,:C1 ⊑ ∃-:p6.:C1,∃-:p6.shar:T ⊑ ∃-:p6.:C1,∃:p4.shar:T ⊑ ∃-:p2.:C1,∃-:p3.shar:T ⊑ ∀:p1.:C1,∃-:p2.shar:T ⊑ ∃-:p2.:C1,∃-:p1.shar:T ⊑ ∃:p1.:C1,∃-:p6.shar:T ⊑ ∃:p3.:C1,∃-:p1.shar:T ⊑ ∃:p5.:C1,∃-:p1.shar:T ⊑ ∀:p3.:C1,∃:p5.shar:T ⊑ ∀-:p4.:C1,∃-:p5.shar:T ⊑ ∃-:p6.:C1,∃-:p2.shar:T ⊑ ∀:p2.:C1,∃-:p2.shar:T ⊑ ∃:p4.:C1,∃:p3.shar:T ⊑ ∀-:p2.:C1,∃-:p2.shar:T ⊑ ∃:p5.:C1,∃:p6.shar:T ⊑ :C1,∃-:p2.shar:T ⊑ :C1,∃:p1.shar:T ⊑ ∃:p5.:C1,∃:p1.shar:T ⊑ ∀-:p2.:C1,∃:p4.shar:T ⊑ ∃:p3.:C1,∃:p1.shar:T ⊑ ∃-:p6.:C1,∃:p6.shar:T ⊑ ∀-:p6.:C1,:C1 ⊑ ∃:p1.:C1,∃:p4.shar:T ⊑ ∀-:p6.:C1,∃:p4.shar:T ⊑ :C1,∃:p6.shar:T ⊑ ∃:p1.:C1,∃-:p3.shar:T ⊑ ∀:p3.:C1,∃:p5.shar:T ⊑ ∃-:p4.:C1,∃:p6.shar:T ⊑ ∃:p5.:C1,∃-:p4.shar:T ⊑ ∃:p1.:C1,∃-:p5.shar:T ⊑ ∃-:p2.:C1,∃:p4.shar:T ⊑ ∃:p1.:C1,∃:p4.shar:T ⊑ ∃-:p4.:C1,:C1 ⊑ ∃:p5.:C1,∃-:p4.shar:T ⊑ ∀:p2.:C1,∃:p6.shar:T ⊑ ∃-:p2.:C1,∃:p2.shar:T ⊑ ∃-:p4.:C1,:C1 ⊑ ∃-:p2.:C1,∃:p5.shar:T ⊑ ∃:p5.:C1,∃-:p1.shar:T ⊑ ∃-:p4.:C1,∃-:p2.shar:T ⊑ ∃:p3.:C1,∃-:p1.shar:T ⊑ ∃:p6.:C1,∃-:p1.shar:T ⊑ ∀:p2.:C1,∃-:p5.shar:T ⊑ ∀:p3.:C1,∃-:p3.shar:T ⊑ ∃:p4.:C1,∃:p3.shar:T ⊑ ∀-:p4.:C1,∃-:p2.shar:T ⊑ ∃:p1.:C1,∃-:p1.shar:T ⊑ ∃:p3.:C1,∃-:p5.shar:T ⊑ ∀:p5.:C1,∃-:p4.shar:T ⊑ ∃:p5.:C1,∃:p4.shar:T ⊑ ∀-:p2.:C1,∃:p5.shar:T ⊑ ∃:p3.:C1,∃-:p6.shar:T ⊑ ∀:p1.:C1,∃-:p3.shar:T ⊑ ∃-:p2.:C1,∃:p2.shar:T ⊑ ∀-:p2.:C1,∃-:p3.shar:T ⊑ ∃:p5.:C1,∃-:p1.shar:T ⊑ ∃-:p6.:C1,∃-:p2.shar:T ⊑ ∃-:p4.:C1,:C1 ⊑ ∃-:p4.:C1,∃-:p4.shar:T ⊑ ∃:p3.:C1,∃:p6.shar:T ⊑ ∃-:p6.:C1,∃-:p3.shar:T ⊑ ∃:p1.:C1,∃-:p6.shar:T ⊑ ∃-:p4.:C1,∃:p6.shar:T ⊑ ∃:p3.:C1,∃-:p5.shar:T ⊑ ∀:p2.:C1,∃:p3.shar:T ⊑ ∃:p5.:C1,∃-:p1.shar:T ⊑ ∃:p4.:C1,∃:p2.shar:T ⊑ ∃:p2.:C1,∃-:p5.shar:T ⊑ ∀:p1.:C1,∃:p2.shar:T ⊑ ∀-:p4.:C1,∃-:p4.shar:T ⊑ ∀:p5.:C1,∃-:p3.shar:T ⊑ ∃-:p4.:C1,∃:p3.shar:T ⊑ ∃-:p4.:C1,∃-:p3.shar:T ⊑ ∀:p5.:C1,∃:p1.shar:T ⊑ ∃-:p4.:C1,∃:p5.shar:T ⊑ ∀-:p6.:C1,∃:p4.shar:T ⊑ ∀-:p4.:C1,∃-:p2.shar:T ⊑ ∀:p3.:C1,∃-:p6.shar:T ⊑ ∃:p5.:C1,∃:p2.shar:T ⊑ ∃:p6.:C1,∃-:p3.shar:T ⊑ :C1,∃:p2.shar:T ⊑ ∃:p3.:C1,∃:p1.shar:T ⊑ ∃:p1.:C1,∃-:p4.shar:T ⊑ ∀:p3.:C1,∃:p6.shar:T ⊑ ∀-:p4.:C1,∃:p2.shar:T ⊑ ∀-:p6.:C1,∃:p2.shar:T ⊑ ∃:p1.:C1,∃-:p3.shar:T ⊑ ∀:p2.:C1,∃-:p6.shar:T ⊑ ∀:p5.:C1,∃-:p5.shar:T ⊑ ∃:p4.:C1
