ID;Fail;Total (ms);Filtering (ms);Timeout;Restarts;Restarting (ms);Query;In;Candidates;Out
1;success;861;107;false;0;0;CONSTRUCT { :a2 a :C1 . ?v1 :p2 ?v1 } WHERE { ?v1 a :C1 . ?v1 :p1 ?v1 . :a1 a :C2 };∃:p1.⊤ ⊑ ∃-:p1.:C1,∃:p1.⊤ ⊑ ∀-:p1.:C2,∃-:p1.⊤ ⊑ ∃:p1.:C1;10;
2;success;53;35;false;0;0;CONSTRUCT { ?v1 :p3 ?v1 . ?v1 a :C2 } WHERE { ?v1 :p1 :a1 . ?v1 :p2 ?v1 . ?v1 a :C1 };∃-:p1.⊤ ⊑ :C1;10;∃:p3٭٭.⊤ ⊑ ∃:p3٭٭.:C2٭٭,∃-:p3٭٭.⊤ ⊑ ∀:p3٭٭.:C2٭٭,∃-:p3٭٭.⊤ ⊑ :C2٭٭,:C2٭٭ ⊑ ∃-:p3٭٭.:C2٭٭,∃:p3٭٭.⊤ ⊑ ∃-:p3٭٭.:C2٭٭,∃:p3٭٭.⊤ ⊑ ∀-:p3٭٭.:C2٭٭,:C2٭٭ ⊑ ∃:p3٭٭.:C2٭٭,∃-:p3٭٭.⊤ ⊑ ∃-:p3٭٭.:C2٭٭,∃:p3٭٭.⊤ ⊑ :C2٭٭,∃-:p3٭٭.⊤ ⊑ ∃:p3٭٭.:C2٭٭
3;success;17;7;false;0;0;CONSTRUCT { ?v1 a :C2 } WHERE { ?v1 a :C1 . ?v1 :p1 ?v1 };:C1 ⊑ ∃:p1.:C1;0;
4;success;33;13;false;0;0;CONSTRUCT { ?v1 a :C2 . ?v1 a :C1 } WHERE { ?v1 a :C1 . ?v1 :p1 ?v1 };:C1 ⊑ ∃-:p1.:C1,∃:p1.⊤ ⊑ ∀-:p1.:C1,∃:p1.⊤ ⊑ :C1,:C1 ⊑ ∃:p1.:C1;2;:C2٭٭ ⊑ :C1٭٭,:C1٭٭ ⊑ :C2٭٭
5;success;12;4;false;0;0;CONSTRUCT { :a1 a :C2 . ?v1 a :C2 } WHERE { ?v1 a :C1 . :a1 a :C2 };:C2 ⊑ :C1,:C1 ⊑ :C2;0;
6;success;65;39;false;0;0;CONSTRUCT { :a2 :p3 ?v1 . ?v1 :p4 ?v1 } WHERE { :a1 a :C1 . ?v1 :p1 :a2 . ?v1 :p2 ?v1 };:C1 ⊑ ∃-:p1.:C1,∃:p1.⊤ ⊑ ∃:p1.:C1,∃-:p2.⊤ ⊑ ∃:p2.:C1,∃:p2.⊤ ⊑ ∀-:p2.:C1;0;
7;success;27;19;false;0;0;CONSTRUCT { ?v1 a :C1 . ?v1 a :C2 } WHERE { ?v1 a :C1 . ?v1 a :C2 . ?v1 :p1 ?v1 };:C2 ⊑ ∃-:p1.:C2,:C1 ⊑ ∃-:p1.:C2;2;:C1٭٭ ⊑ :C2٭٭,:C2٭٭ ⊑ :C1٭٭
8;success;44;36;false;0;0;CONSTRUCT { ?v1 a :C2 . ?v1 :p2 ?v1 } WHERE { ?v1 a :C1 . ?v1 :p1 ?v1 };∃:p1.⊤ ⊑ ∀-:p1.:C1,∃-:p1.⊤ ⊑ ∀:p1.:C1;10;∃:p2٭٭.⊤ ⊑ :C2٭٭,∃-:p2٭٭.⊤ ⊑ ∃:p2٭٭.:C2٭٭,∃:p2٭٭.⊤ ⊑ ∃:p2٭٭.:C2٭٭,∃-:p2٭٭.⊤ ⊑ ∃-:p2٭٭.:C2٭٭,∃:p2٭٭.⊤ ⊑ ∃-:p2٭٭.:C2٭٭,∃-:p2٭٭.⊤ ⊑ :C2٭٭,∃:p2٭٭.⊤ ⊑ ∀-:p2٭٭.:C2٭٭,∃-:p2٭٭.⊤ ⊑ ∀:p2٭٭.:C2٭٭,:C2٭٭ ⊑ ∃-:p2٭٭.:C2٭٭,:C2٭٭ ⊑ ∃:p2٭٭.:C2٭٭
9;success;115;107;false;0;0;CONSTRUCT { ?v1 :p1 ?v1 . ?v1 a :C2 . :a2 a :C1 } WHERE { ?v1 a :C1 . :a1 a :C2 };:C2 ⊑ :C1,:C1 ⊑ :C2;26;:C2٭٭ ⊑ ∃:p1٭٭.:C2٭٭,:C2٭٭ ⊑ ∃-:p1٭٭.:C2٭٭,∃:p1٭٭.⊤ ⊑ :C2٭٭,∃-:p1٭٭.⊤ ⊑ ∀:p1٭٭.:C2٭٭,∃-:p1٭٭.⊤ ⊑ ∃-:p1٭٭.:C2٭٭,∃:p1٭٭.⊤ ⊑ ∃:p1٭٭.:C2٭٭,∃:p1٭٭.⊤ ⊑ ∀-:p1٭٭.:C2٭٭,∃-:p1٭٭.⊤ ⊑ :C2٭٭,∃:p1٭٭.⊤ ⊑ ∃-:p1٭٭.:C2٭٭,∃-:p1٭٭.⊤ ⊑ ∃:p1٭٭.:C2٭٭
10;success;18;12;false;0;0;CONSTRUCT { ?v1 a :C2 . ?v1 a :C1 } WHERE { ?v1 a :C1 . ?v1 a :C2 };:C2 ⊑ :C1,:C1 ⊑ :C2;2;:C2٭٭ ⊑ :C1٭٭,:C1٭٭ ⊑ :C2٭٭
