ID;Fail;Total (ms);Filtering (ms);Timeout;Restarts;Restarting (ms);Query;In;Candidates;Out
1;success;418;66;false;0;0;CONSTRUCT { ?v3 a :C1 . ?v1 a :C2 } WHERE { ?v1 a :C1 . ?v2 :p1 ?v3 };;2;
2;success;51;13;false;0;0;CONSTRUCT { ?v2 :p2 ?v1 . ?v2 :p3 ?v1 } WHERE { ?v1 :p1 ?v2 . ?v3 :p1 ?v2 };;0;
3;success;60;46;false;0;0;CONSTRUCT { ?v2 :p2 ?v3 . ?v1 a :C2 } WHERE { ?v1 :p1 ?v2 . ?v3 a :C1 };;10;
4;success;68;40;false;0;0;CONSTRUCT { ?v3 a :C1 . ?v2 :p3 ?v3 } WHERE { ?v1 :p1 ?v2 . ?v3 :p2 ?v2 };;10;∃:p3.shar:T ⊑ ∃:p3.:C1,∃-:p3.shar:T ⊑ ∀:p3.:C1,∃-:p3.shar:T ⊑ :C1
5;success;50;35;false;0;0;CONSTRUCT { ?v3 :p1 ?v1 . ?v1 a :C2 } WHERE { ?v1 :p1 ?v2 . ?v3 a :C1 };;10;∃-:p1.shar:T ⊑ ∀:p1.:C2,∃:p1.shar:T ⊑ ∃:p1.:C2,∃-:p1.shar:T ⊑ :C2
6;success;38;28;false;0;0;CONSTRUCT { ?v2 a :C2 . ?v3 :p1 ?v2 } WHERE { ?v1 :p1 ?v2 . ?v3 a :C1 };;10;∃-:p1.shar:T ⊑ ∀:p1.:C2,∃:p1.shar:T ⊑ ∃:p1.:C2,∃-:p1.shar:T ⊑ :C2
7;success;26;16;false;0;0;CONSTRUCT { ?v2 a :C1 . ?v3 a :C2 } WHERE { ?v1 :p1 ?v2 . ?v3 :p2 ?v1 };;2;
8;success;20;8;false;0;0;CONSTRUCT { ?v2 :p1 ?v1 . ?v1 :p1 ?v2 } WHERE { ?v1 a :C1 . ?v2 :p1 ?v1 };;0;
9;success;34;22;false;0;0;CONSTRUCT { ?v2 a :C3 . ?v1 :p1 ?v2 } WHERE { ?v1 a :C1 . ?v2 a :C2 };;10;∃-:p1.shar:T ⊑ ∀:p1.:C3,∃:p1.shar:T ⊑ ∃:p1.:C3,∃-:p1.shar:T ⊑ :C3
10;success;17;9;false;0;0;CONSTRUCT { ?v2 a :C3 . ?v2 a :C4 } WHERE { ?v1 a :C1 . ?v2 a :C2 };;2;:C3 ⊑ :C4,:C4 ⊑ :C3
11;success;34;22;false;0;0;CONSTRUCT { ?v2 a :C1 . ?v1 :p3 ?v3 } WHERE { ?v1 :p1 ?v2 . ?v3 :p2 ?v1 };;10;
12;success;34;22;false;0;0;CONSTRUCT { ?v3 a :C2 . ?v1 :p2 ?v2 } WHERE { ?v1 :p1 ?v2 . ?v3 a :C1 };;10;
13;success;36;23;false;0;0;CONSTRUCT { ?v1 :p3 ?v3 . ?v1 a :C1 } WHERE { ?v1 :p1 ?v2 . ?v3 :p2 ?v2 };;10;∃:p3.shar:T ⊑ ∀-:p3.:C1,∃:p3.shar:T ⊑ :C1,∃-:p3.shar:T ⊑ ∃-:p3.:C1
14;success;33;22;false;0;0;CONSTRUCT { ?v2 :p2 ?v3 . ?v3 a :C2 } WHERE { ?v1 a :C1 . ?v2 :p1 ?v3 };;10;∃:p2.shar:T ⊑ ∃:p2.:C2,∃-:p2.shar:T ⊑ :C2,∃-:p2.shar:T ⊑ ∀:p2.:C2
15;success;35;24;false;0;0;CONSTRUCT { ?v2 :p1 ?v3 . ?v1 a :C2 } WHERE { ?v1 :p1 ?v2 . ?v3 a :C1 };;10;
16;success;18;10;false;0;0;CONSTRUCT { ?v3 a :C2 . ?v3 a :C3 } WHERE { ?v1 :p1 ?v2 . ?v3 a :C1 };;2;:C2 ⊑ :C3,:C3 ⊑ :C2
17;success;20;6;false;0;0;CONSTRUCT { ?v2 :p2 ?v3 . ?v1 :p3 ?v2 } WHERE { ?v1 :p1 ?v2 . ?v1 :p1 ?v3 };;0;
18;success;33;23;false;0;0;CONSTRUCT { ?v3 a :C1 . ?v2 :p2 ?v3 } WHERE { ?v1 :p1 ?v2 . ?v3 :p1 ?v1 };;10;∃-:p2.shar:T ⊑ ∀:p2.:C1,∃-:p2.shar:T ⊑ :C1,∃:p2.shar:T ⊑ ∃:p2.:C1
