ID;Fail;Total (ms);Filtering (ms);Timeout;Restarts;Restarting (ms);Query;In;Candidates;Out
1;success;850;71;true;0;0;CONSTRUCT { ?v5 a :C2 . ?v8 a :C2 . ?v6 a :C2 . ?v9 a :C1 . :a1 a :C1 . ?v4 a :C2 . ?v10 :p6 ?v4 . ?v1 a :C2 . ?v1 :p5 ?v3 } WHERE { ?v4 a :C1 . ?v8 :p3 ?v9 . ?v2 :p1 ?v1 . ?v8 :p4 ?v7 . ?v6 a :C1 . ?v6 :p2 ?v7 . ?v9 a :C2 . ?v5 a :C1 . ?v1 a :C1 . ?v3 a :C2 . ?v10 a :C2 };∃:p1.⊤ ⊑ ∃-:p3.:C1,∃:p4.⊤ ⊑ ∃-:p2.:C2,∃:p1.⊤ ⊑ ∀-:p1.:C2,∃:p4.⊤ ⊑ ∃:p3.:C1,:C2 ⊑ :C1,∃-:p2.⊤ ⊑ ∃:p3.:C2,∃-:p4.⊤ ⊑ :C2,∃:p3.⊤ ⊑ ∃-:p1.:C2,∃:p4.⊤ ⊑ ∃:p3.:C2,:C1 ⊑ ∃-:p1.:C2;82;
2;success;132;36;true;0;0;CONSTRUCT { ?v5 a :C2 . ?v1 a :C1 . ?v8 a :C2 . ?v9 :p5 ?v4 . ?v6 a :C1 . :a2 a :C1 . ?v7 a :C2 . ?v6 :p6 ?v5 . ?v10 a :C2 } WHERE { ?v5 a :C2 . ?v1 a :C1 . ?v7 :p4 ?v8 . ?v2 a :C1 . ?v9 a :C2 . ?v4 :p3 ?v6 . ?v4 :p2 ?v5 . ?v6 a :C2 . ?v10 a :C1 . ?v2 :p1 ?v3 . :a1 a :C1 };∃:p4.⊤ ⊑ ∀-:p1.:C2,∃-:p3.⊤ ⊑ ∀:p3.:C1,∃:p4.⊤ ⊑ ∀-:p1.:C1,:C1 ⊑ ∃-:p1.:C1,∃-:p2.⊤ ⊑ ∃-:p1.:C1,∃-:p2.⊤ ⊑ :C2,∃-:p1.⊤ ⊑ ∀:p2.:C1,:C1 ⊑ ∃-:p2.:C1,:C1 ⊑ ∃:p2.:C1;82;
3;success;222;25;true;0;0;CONSTRUCT { ?v5 a :C1 . ?v8 a :C2 . ?v2 :p5 ?v10 . ?v2 a :C2 . ?v2 a :C1 . ?v8 a :C1 . ?v4 :p3 ?v9 . :a2 :p4 :a1 . ?v5 a :C2 } WHERE { ?v9 :p2 :a1 . ?v5 a :C1 . ?v8 a :C2 . ?v3 a :C1 . ?v4 a :C2 . ?v6 a :C1 . ?v9 a :C2 . ?v7 a :C2 . ?v10 a :C2 . ?v2 :p1 ?v3 };:C2 ⊑ ∃-:p2.:C1,∃:p1.⊤ ⊑ ∃-:p2.:C1,∃:p1.⊤ ⊑ ∃-:p1.:C1,∃:p2.⊤ ⊑ ∃:p1.:C2,∃:p1.⊤ ⊑ ∃:p1.:C2,:C1 ⊑ ∃:p1.:C1,∃-:p1.⊤ ⊑ :C2,:C2 ⊑ :C1,∃-:p2.⊤ ⊑ ∀:p2.:C2,∃:p2.⊤ ⊑ ∃-:p2.:C2;164;
4;success;73;20;true;0;0;CONSTRUCT { ?v5 a :C1 . ?v8 :p5 ?v9 . ?v3 :p4 ?v5 . ?v10 :p7 ?v4 . ?v6 a :C1 . ?v7 :p6 ?v9 . ?v7 a :C2 . ?v3 a :C2 . :a1 a :C1 . ?v9 a :C1 . :a2 a :C1 } WHERE { ?v3 :p1 ?v4 . ?v5 a :C1 . ?v8 a :C2 . ?v6 a :C2 . ?v5 :p2 ?v10 . ?v8 a :C1 . ?v7 a :C1 . ?v9 a :C1 . ?v10 a :C2 };∃:p1.⊤ ⊑ ∃-:p2.:C2,∃:p1.⊤ ⊑ ∃:p1.:C1,:C2 ⊑ :C1,∃:p2.⊤ ⊑ ∃-:p1.:C1;274;
5;success;38;18;true;0;0;CONSTRUCT { ?v6 a :C2 . ?v8 a :C1 . :a2 a :C2 . ?v8 :p3 ?v4 . ?v7 a :C1 . ?v9 a :C1 . ?v1 a :C2 . ?v8 :p2 ?v5 . ?v5 a :C2 . ?v8 :p1 ?v5 } WHERE { ?v5 a :C2 . ?v1 a :C1 . ?v2 a :C2 . ?v4 a :C2 . ?v8 a :C1 . ?v6 a :C1 . :a1 a :C2 . ?v9 a :C2 . ?v7 a :C2 };:C1 ⊑ :C2;164;
6;success;65;21;true;0;0;CONSTRUCT { ?v5 a :C2 . ?v5 a :C1 . ?v7 :p4 ?v9 . ?v2 a :C1 . ?v9 a :C1 . ?v7 a :C2 . ?v3 a :C2 . ?v4 a :C2 . ?v7 :p5 ?v1 } WHERE { ?v5 a :C2 . ?v4 a :C1 . ?v2 a :C2 . ?v8 a :C1 . ?v9 :p2 ?v10 . ?v1 a :C1 . ?v6 :p1 ?v7 . ?v3 a :C2 . ?v1 a :C2 . ?v3 :p3 ?v9 . :a1 a :C1 };∃-:p3.⊤ ⊑ ∀:p1.:C2,∃-:p1.⊤ ⊑ ∃:p2.:C1,:C1 ⊑ ∃-:p1.:C2,∃-:p1.⊤ ⊑ ∀:p2.:C2,∃-:p2.⊤ ⊑ ∃:p3.:C1,:C1 ⊑ ∃:p2.:C1,:C2 ⊑ ∃:p1.:C1,∃:p3.⊤ ⊑ ∃:p2.:C1,∃-:p3.⊤ ⊑ ∃:p2.:C2;82;
7;success;55;20;true;0;0;CONSTRUCT { ?v4 a :C1 . ?v10 :p3 ?v5 . ?v6 :p2 ?v10 . ?v4 a :C2 . ?v8 a :C1 . ?v6 a :C1 . :a2 :p1 :a2 . ?v9 a :C1 . ?v9 a :C2 } WHERE { ?v1 a :C1 . ?v8 a :C2 . ?v2 a :C1 . ?v6 a :C1 . :a1 a :C2 . ?v9 a :C2 . ?v4 :p1 ?v5 . ?v7 a :C2 . ?v3 a :C2 . ?v1 a :C2 . ?v10 a :C2 };∃-:p1.⊤ ⊑ ∃-:p1.:C2,∃-:p1.⊤ ⊑ :C1,:C1 ⊑ ∃:p1.:C2;164;
8;success;32;17;true;0;0;CONSTRUCT { ?v5 a :C1 . ?v8 :p3 ?v9 . ?v8 a :C1 . ?v7 a :C2 . ?v1 a :C2 . ?v6 a :C2 . ?v10 a :C1 . ?v9 a :C1 . :a2 a :C1 . ?v9 a :C2 } WHERE { ?v5 a :C2 . ?v1 a :C1 . ?v4 a :C2 . ?v6 a :C1 . ?v9 a :C1 . ?v7 :p2 ?v8 . ?v3 a :C2 . ?v10 a :C2 . ?v2 :p1 ?v3 . :a1 a :C1 };∃-:p1.⊤ ⊑ ∀:p2.:C1,∃-:p2.⊤ ⊑ ∀:p1.:C2;28;
9;success;65;16;true;0;0;CONSTRUCT { ?v4 a :C1 . ?v3 a :C1 . ?v10 a :C1 . ?v4 a :C2 . :a2 a :C2 . ?v10 :p1 ?v6 . ?v4 :p2 ?v10 . ?v6 :p3 ?v4 . ?v9 a :C2 } WHERE { ?v1 a :C1 . ?v2 a :C2 . ?v2 a :C1 . ?v4 a :C2 . ?v8 a :C1 . ?v9 a :C2 . ?v7 a :C2 . ?v5 :p1 ?v6 . ?v3 a :C2 . ?v10 a :C2 };∃:p1.⊤ ⊑ ∀-:p1.:C1,∃-:p1.⊤ ⊑ ∃-:p1.:C1,∃:p1.⊤ ⊑ ∃:p1.:C2,∃:p1.⊤ ⊑ ∃-:p1.:C2,:C2 ⊑ ∃-:p1.:C2,:C2 ⊑ ∃-:p1.:C1,∃-:p1.⊤ ⊑ ∀:p1.:C2,∃-:p1.⊤ ⊑ ∃:p1.:C1;164;
10;success;33;17;true;0;0;CONSTRUCT { ?v5 a :C2 . ?v2 a :C2 . ?v2 a :C1 . ?v8 a :C1 . :a1 a :C2 . ?v9 a :C2 . ?v8 :p4 ?v4 . ?v7 a :C2 . ?v10 a :C2 } WHERE { ?v5 a :C2 . ?v4 a :C1 . ?v1 a :C1 . ?v3 a :C1 . ?v8 :p2 ?v7 . ?v2 a :C2 . ?v9 :p3 ?v10 . ?v7 a :C1 . ?v1 a :C2 . ?v5 :p1 ?v6 };:C2 ⊑ ∃-:p1.:C2,∃-:p3.⊤ ⊑ ∀:p3.:C2,:C1 ⊑ :C2,∃:p1.⊤ ⊑ ∃-:p1.:C1;28;
