ID;Failure;Total Time (ms);Time Filtering (ms);Timed Out;Restarts Count;Time Restarting (ms);Query;Input Shapes;Output Shapes
1;success;466;50;false;0;0;CONSTRUCT { ?v2 :p2 ?v1 . ?v1 :p1 ?v2 . ?v2 :p3 ?v1 . ?v2 :p4 ?v1 } WHERE { ?v1 :p1 ?v2 };;
2;success;33;13;false;0;0;CONSTRUCT { ?v2 :p2 ?v1 . ?v2 :p3 ?v1 . ?v1 :p4 ?v2 . ?v2 :p5 ?v1 } WHERE { ?v1 :p1 ?v2 };;
3;success;221;195;false;0;0;CONSTRUCT { ?v1 a :C1 . ?v2 :p2 ?v1 . ?v1 :p1 ?v2 . ?v1 :p3 ?v2 } WHERE { ?v1 :p1 ?v2 };;∃:p3.shar:T ⊑ ∀-:p3.:C1,∃-:p1.shar:T ⊑ ∃:p2.:C1,∃:p2.shar:T ⊑ ∃-:p3.:C1,∃:p2.shar:T ⊑ ∃-:p1.:C1,∃:p1.shar:T ⊑ ∀-:p1.:C1,∃-:p2.shar:T ⊑ ∀:p2.:C1,∃-:p2.shar:T ⊑ :C1,∃-:p3.shar:T ⊑ ∃-:p1.:C1,∃:p1.shar:T ⊑ :C1,∃-:p3.shar:T ⊑ ∃-:p3.:C1,∃:p1.shar:T ⊑ ∀-:p3.:C1,∃:p2.shar:T ⊑ ∃:p2.:C1,∃-:p3.shar:T ⊑ ∀:p2.:C1,∃:p3.shar:T ⊑ ∀-:p1.:C1,∃-:p3.shar:T ⊑ ∃:p2.:C1,∃-:p1.shar:T ⊑ ∃-:p3.:C1,∃:p2.shar:T ⊑ ∀-:p3.:C1,∃-:p1.shar:T ⊑ ∃-:p1.:C1,∃:p3.shar:T ⊑ :C1,∃:p2.shar:T ⊑ ∀-:p1.:C1,∃-:p1.shar:T ⊑ ∀:p2.:C1
4;success;171;141;false;0;0;CONSTRUCT { ?v2 a :C1 . ?v2 :p2 ?v1 . ?v1 :p3 ?v2 . ?v1 :p4 ?v2 } WHERE { ?v1 :p1 ?v2 };;∃:p4.shar:T ⊑ ∃:p4.:C1,∃-:p4.shar:T ⊑ :C1,∃-:p4.shar:T ⊑ ∀:p4.:C1,∃:p4.shar:T ⊑ ∃:p3.:C1,∃-:p3.shar:T ⊑ ∀:p3.:C1,∃:p4.shar:T ⊑ ∀-:p2.:C1,∃-:p3.shar:T ⊑ ∀:p4.:C1,∃:p2.shar:T ⊑ ∀-:p2.:C1,∃-:p2.shar:T ⊑ ∀:p3.:C1,∃-:p3.shar:T ⊑ :C1,∃-:p4.shar:T ⊑ ∀:p3.:C1,∃:p2.shar:T ⊑ :C1,∃:p3.shar:T ⊑ ∃:p3.:C1,∃-:p2.shar:T ⊑ ∀:p4.:C1,∃-:p2.shar:T ⊑ ∃-:p2.:C1,∃:p3.shar:T ⊑ ∃:p4.:C1,∃:p4.shar:T ⊑ ∃-:p2.:C1,∃-:p2.shar:T ⊑ ∃:p4.:C1,∃:p3.shar:T ⊑ ∀-:p2.:C1,∃-:p2.shar:T ⊑ ∃:p3.:C1,∃:p3.shar:T ⊑ ∃-:p2.:C1
5;success;26;10;false;0;0;CONSTRUCT { ?v2 :p2 ?v1 . ?v1 :p3 ?v2 . ?v1 :p4 ?v2 . ?v1 :p5 ?v2 } WHERE { ?v1 :p1 ?v2 };;
6;success;20;8;false;0;0;CONSTRUCT { ?v1 :p2 ?v2 . ?v2 :p1 ?v1 . ?v2 :p3 ?v1 } WHERE { ?v1 :p1 ?v2 };;
7;success;23;9;false;0;0;CONSTRUCT { ?v1 :p2 ?v2 . ?v1 :p3 ?v2 . ?v2 :p4 ?v1 } WHERE { ?v1 :p1 ?v2 };;
8;success;70;55;false;0;0;CONSTRUCT { ?v2 :p2 ?v1 . ?v2 :p3 ?v1 . ?v1 a :C1 } WHERE { ?v1 :p1 ?v2 };;∃:p3.shar:T ⊑ ∃:p3.:C1,∃-:p2.shar:T ⊑ ∀:p2.:C1,∃-:p3.shar:T ⊑ ∀:p3.:C1,∃:p2.shar:T ⊑ ∃:p2.:C1,∃-:p2.shar:T ⊑ ∀:p3.:C1,∃-:p3.shar:T ⊑ :C1,∃:p3.shar:T ⊑ ∃:p2.:C1,∃-:p2.shar:T ⊑ :C1,∃:p2.shar:T ⊑ ∃:p3.:C1,∃-:p3.shar:T ⊑ ∀:p2.:C1
9;success;18;6;false;0;0;CONSTRUCT { ?v2 :p2 ?v1 . ?v2 :p3 ?v1 . ?v2 :p4 ?v1 . ?v1 :p5 ?v2 } WHERE { ?v1 :p1 ?v2 };;
10;success;18;6;false;0;0;CONSTRUCT { ?v1 :p2 ?v2 . ?v1 :p3 ?v2 . ?v2 :p4 ?v1 . ?v2 :p5 ?v1 } WHERE { ?v1 :p1 ?v2 };;
11;success;14;5;false;0;0;CONSTRUCT { ?v1 :p2 ?v2 . ?v2 :p3 ?v1 . ?v1 :p4 ?v2 } WHERE { ?v1 :p1 ?v2 };;
12;success;18;7;false;0;0;CONSTRUCT { ?v1 :p2 ?v2 . ?v1 :p3 ?v2 . ?v1 :p4 ?v2 . ?v2 :p5 ?v1 } WHERE { ?v1 :p1 ?v2 };;
13;success;21;8;false;0;0;CONSTRUCT { ?v2 :p2 ?v1 . ?v1 :p2 ?v2 . ?v1 :p3 ?v2 . ?v1 :p4 ?v2 } WHERE { ?v1 :p1 ?v2 };;
14;success;25;9;false;0;0;CONSTRUCT { ?v2 :p2 ?v1 . ?v1 :p3 ?v2 . ?v1 :p4 ?v2 . ?v1 :p1 ?v2 } WHERE { ?v1 :p1 ?v2 };;
15;success;71;56;false;0;0;CONSTRUCT { ?v1 :p1 ?v2 . ?v2 :p2 ?v1 . ?v2 a :C1 } WHERE { ?v1 :p1 ?v2 };;∃-:p2.shar:T ⊑ ∀:p1.:C1,∃-:p1.shar:T ⊑ :C1,∃-:p1.shar:T ⊑ ∀:p1.:C1,∃:p2.shar:T ⊑ :C1,∃-:p2.shar:T ⊑ ∃-:p2.:C1,∃:p1.shar:T ⊑ ∀-:p2.:C1,∃-:p2.shar:T ⊑ ∃:p1.:C1,∃:p2.shar:T ⊑ ∀-:p2.:C1,∃:p1.shar:T ⊑ ∃:p1.:C1,∃:p1.shar:T ⊑ ∃-:p2.:C1
16;success;18;7;false;0;0;CONSTRUCT { ?v2 :p2 ?v1 . ?v2 :p3 ?v1 . ?v2 :p4 ?v1 . ?v2 :p5 ?v1 } WHERE { ?v1 :p1 ?v2 };;
17;success;14;5;false;0;0;CONSTRUCT { ?v1 :p2 ?v2 . ?v2 :p3 ?v1 . ?v2 :p4 ?v1 } WHERE { ?v1 :p1 ?v2 };;
18;success;14;5;false;0;0;CONSTRUCT { ?v1 :p2 ?v2 . ?v2 :p1 ?v1 . ?v1 :p3 ?v2 . ?v1 :p4 ?v2 } WHERE { ?v1 :p1 ?v2 };;
19;success;11;3;false;0;0;CONSTRUCT { ?v2 :p2 ?v1 . ?v2 :p3 ?v1 . ?v1 :p4 ?v2 . ?v2 :p5 ?v1 } WHERE { ?v1 :p1 ?v2 };;
20;success;12;5;false;0;0;CONSTRUCT { ?v2 :p2 ?v1 . ?v2 :p3 ?v1 . ?v1 :p4 ?v2 } WHERE { ?v1 :p1 ?v2 };;
